ID,学历要求,工作经验,薪资
5761058,不限,1-3年,7k-10k
5760999,本科,1年以下,5k-10k
5760182,本科,3-5年,15k-25k
5760093,本科,3-5年,15k-30k
5759621,本科,1-3年,6k-8k
5758190,本科,1年以下,10k-15k
5758103,本科,1-3年,8k-15k
5758103,本科,1-3年,8k-15k
5757634,本科,1-3年,15k-25k
5757287,本科,1-3年,8k-15k
5757244,本科,5-10年,14k-18k
5756631,本科,3-5年,15k-30k
5756488,本科,5-10年,20k-40k
5756358,本科,5-10年,25k-40k
5756056,不限,1-3年,8k-15k
5755366,本科,3-5年,15k-25k
5755123,本科,1-3年,10k-20k
5754426,不限,1-3年,10k-20k
5754290,本科,3-5年,20k-40k
5754075,本科,1-3年,15k-30k
5753931,本科,3-5年,15k-25k
5753844,本科,5-10年,20k-40k
5751657,本科,1-3年,10k-20k
5750498,本科,3-5年,23k-46k
5750230,不限,3-5年,18k-30k
5749515,本科,不限,5k-8k
5748069,本科,1-3年,9k-15k
5747426,本科,3-5年,20k-40k
5747223,本科,3-5年,20k-40k
5746828,本科,3-5年,20k-40k
5745940,本科,3-5年,25k-35k
5744749,大专,1-3年,6k-9k
5744502,不限,1-3年,15k-25k
5744434,本科,3-5年,15k-30k
5744243,本科,1-3年,6k-10k
5744106,硕士,3-5年,10k-20k
5744068,本科,3-5年,25k-50k
5743333,本科,1-3年,8k-11k
5743192,本科,3-5年,15k-25k
5742734,本科,1-3年,8k-15k
5742627,本科,5-10年,15k-25k
5742124,本科,5-10年,20k-40k
5741889,本科,1-3年,10k-20k
5739305,本科,3-5年,10k-15k
5738476,本科,1-3年,13k-20k
5738051,本科,5-10年,20k-40k
5738038,本科,5-10年,20k-40k
5737577,本科,3-5年,10k-20k
5736812,不限,1-3年,10k-20k
5736785,不限,3-5年,15k-25k
5735565,本科,3-5年,10k-15k
5733985,本科,3-5年,12k-20k
5733985,本科,3-5年,12k-20k
5733842,本科,3-5年,15k-20k
5733706,本科,1-3年,6k-10k
5730337,本科,不限,13k-20k
